typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"93317.39","93317.39","0","false","true",
"C","M","20230101","2023","1","202301","214","DOM","Dominican Rep.","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","99675.219","88108.094","99675.219","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"113903308.845","113903308.845","0","false","true",
"C","M","20230101","2023","1","202301","214","DOM","Dominican Rep.","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","02","Meat and edible meat offal","2","false","C01","Clearance for home use","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","99675.219","88108.094","99675.219","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"9598.522","9598.522","4","false","true",
"C","M","20230101","2023","1","202301","214","DOM","Dominican Rep.","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","545.19","45.99","545.19","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"988.609","988.609","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"50607194.233","50607194.233","4","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","RM","Re-import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"63.325","63.325","0","false","true",
"C","M","20230101","2023","1","202301","214","DOM","Dominican Rep.","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C01","Clearance for home use","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","545.19","45.99","545.19","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"424794.193","424794.193","4","false","true",
"C","M","20230101","2023","1","202301","214","DOM","Dominican Rep.","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","61058.938","41981.962","61058.938","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1075748.903","1075748.903","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"320282049.63","320282049.63","4","false","true",
