date_key,country_code,flow_code,clearence_code,mot_code,value,product_code
20250101,LUX,FM,C00,1000,2406271.844,02
20250101,LUX,RM,C00,1000,3885.505,02
20250101,LUX,RX,C00,1000,3866.372,02
20250101,LUX,DX,C00,3200,2488684.023,02
20250101,LUX,FM,C00,3200,14923437.894,02
20250101,LUX,RM,C00,3200,460969.326,02
20250101,LUX,RX,C00,3200,6820.859,02
20250101,LUX,DX,C00,1000,720723.292,04
20250101,LUX,FM,C00,1000,2510326.864,04
20250101,LUX,RM,C00,1000,1674.115,04
20250101,LUX,RX,C00,1000,5480.787,04
20250101,MUS,DX,C00,1000,5801.744,04
20250101,MUS,RX,C00,1000,563.386,04
20250101,LUX,DX,C00,3200,51844757.783,04
20250101,LUX,FM,C00,3200,42311448.723,04
20250101,LUX,RM,C00,3200,29917.664,04
20250101,LUX,RX,C00,3200,459.198,04
20250101,MUS,DX,C03,1000,5801.744,04
20250101,MUS,RX,C03,1000,563.386,04
20250101,LUX,DX,C00,1000,198310.621,07
20250101,LUX,FM,C00,1000,1421026.601,07
20250101,LUX,RM,C00,1000,5636.994,07
20250101,LUX,RX,C00,1000,1708.365,07
20250101,MUS,DX,C00,1000,1385.584,07
20250101,LUX,DX,C00,3200,1028956.08,07
20250101,LUX,FM,C00,3200,10289219.97,07
20250101,LUX,RM,C00,3200,11031.896,07
20250101,LUX,RX,C00,3200,7326.297,07
20250101,MUS,DX,C03,1000,1385.584,07
20250101,LUX,DX,C00,1000,25516.657,08
20250101,LUX,FM,C00,1000,3114113.919,08
20250101,LUX,RM,C00,1000,4335.468,08
20250101,LUX,RX,C00,1000,533.455,08
20250101,MUS,DX,C00,1000,465658.994,08
20250101,LUX,DX,C00,3200,2075965.075,08
20250101,LUX,FM,C00,3200,11785472.01,08
20250101,LUX,RM,C00,3200,17362.165,08
20250101,LUX,RX,C00,3200,8676.423,08
20250101,MUS,DX,C03,1000,465658.994,08
20250101,LUX,DX,C00,1000,565245.036,09
20250101,LUX,FM,C00,1000,1145494.445,09
20250101,LUX,RM,C00,1000,2899.799,09
20250101,LUX,RX,C00,1000,399.519,09
20250101,MUS,DX,C00,1000,13381.803,09
20250101,MUS,RX,C00,1000,41275.266,09
20250101,LUX,DX,C00,3200,3492573.513,09
20250101,LUX,FM,C00,3200,13589359.285,09
20250101,LUX,RM,C00,3200,463.081,09
20250101,LUX,RX,C00,3200,42.45,09
20250101,MAC,RX,C00,3200,2411.384,09
20250101,MUS,DX,C03,1000,13381.803,09
20250101,MUS,RX,C03,1000,41275.266,09
20250101,LUX,DX,C00,1000,323522.572,12
20250101,LUX,FM,C00,1000,380071.7,12
20250101,LUX,RM,C00,1000,121.087,12
20250101,LUX,RX,C00,1000,30.44,12
20250101,LUX,DX,C00,3200,847565.116,12
20250101,LUX,FM,C00,3200,2401529.009,12
20250101,LUX,RM,C00,3200,2531.486,12
20250101,LUX,RX,C00,3200,447.281,12
20250101,LUX,DX,C00,1000,3969505.677,22
20250101,LUX,FM,C00,1000,5612454.543,22
20250101,LUX,RM,C00,1000,1119.994,22
20250101,LUX,RX,C00,1000,9135.963,22
20250101,MAC,RX,C00,1000,10129.409,22
20250101,MUS,DX,C00,1000,11524.226,22
20250101,MUS,RX,C00,1000,248401.767,22
20250101,MYS,RM,C00,2000,31161.376,22
20250101,LUX,DX,C00,3200,7698895.436,22
20250101,LUX,FM,C00,3200,34788228.57,22
20250101,LUX,RM,C00,3200,255676.596,22
20250101,LUX,RX,C00,3200,25477.033,22
20250101,MAC,RX,C00,3200,574002.308,22
